0,1,2,3,4,5,6
"Manchester Utd
4
–
West Ham
1",bet365,-588,+600,+1600,"Saturday, 03 May 2008, 11:45",4:1
"Manchester Utd
4
–
West Ham
1",bwin,-500,+425,+1200,"Saturday, 03 May 2008, 11:45",4:1
"Manchester Utd
4
–
West Ham
1",Interwetten,-714,+500,+1200,"Saturday, 03 May 2008, 11:45",4:1
"Manchester Utd
4
–
West Ham
1",Pinnacle,-526,+638,+1803,"Saturday, 03 May 2008, 11:45",4:1
"Manchester Utd
4
–
West Ham
1",Unibet,-556,+500,+1500,"Saturday, 03 May 2008, 11:45",4:1
"Manchester Utd
4
–
West Ham
1",William Hill,-667,+600,+1400,"Saturday, 03 May 2008, 11:45",4:1
"Sunderland
0
–
Arsenal
1",bet-at-home,+325,+240,-125,"Sunday, 11 May 2008, 14:00",0:1
"Sunderland
0
–
Arsenal
1",bet365,+275,+260,-125,"Sunday, 11 May 2008, 14:00",0:1
"Sunderland
0
–
Arsenal
1",bwin,+325,+225,-125,"Sunday, 11 May 2008, 14:00",0:1
"Sunderland
0
–
Arsenal
1",Interwetten,+260,+220,-111,"Sunday, 11 May 2008, 14:00",0:1
"Sunderland
0
–
Arsenal
1",Pinnacle,+289,+254,-102,"Sunday, 11 May 2008, 14:00",0:1
"Sunderland
0
–
Arsenal
1",Unibet,+260,+250,-105,"Sunday, 11 May 2008, 14:00",0:1
"Sunderland
0
–
Arsenal
1",William Hill,+300,+240,-111,"Sunday, 11 May 2008, 14:00",0:1
"Manchester City
2
–
Fulham
3",bet-at-home,-111,+225,+300,"Saturday, 26 Apr 2008, 14:00",2:3
"Manchester City
2
–
Fulham
3",bet365,-120,+250,+350,"Saturday, 26 Apr 2008, 14:00",2:3
"Manchester City
2
–
Fulham
3",bwin,-133,+240,+325,"Saturday, 26 Apr 2008, 14:00",2:3
"Manchester City
2
–
Fulham
3",Interwetten,-133,+229,+320,"Saturday, 26 Apr 2008, 14:00",2:3
"Manchester City
2
–
Fulham
3",Pinnacle,-101,+247,+323,"Saturday, 26 Apr 2008, 14:00",2:3
"Manchester City
2
–
Fulham
3",Unibet,-118,+229,+330,"Saturday, 26 Apr 2008, 14:00",2:3
"Manchester City
2
–
Fulham
3",William Hill,+175,-175,+700,"Saturday, 26 Apr 2008, 14:00",2:3
"Everton
0
–
Chelsea
1",bet-at-home,+260,+229,+100,"Thursday, 17 Apr 2008, 19:00",0:1
"Everton
0
–
Chelsea
1",bet365,+270,+229,+110,"Thursday, 17 Apr 2008, 19:00",0:1
"Everton
0
–
Chelsea
1",bwin,+260,+220,-105,"Thursday, 17 Apr 2008, 19:00",0:1
"Everton
0
–
Chelsea
1",Interwetten,+229,+210,+104,"Thursday, 17 Apr 2008, 19:00",0:1
"Everton
0
–
Chelsea
1",Pinnacle,+287,+229,+114,"Thursday, 17 Apr 2008, 19:00",0:1
"Everton
0
–
Chelsea
1",Unibet,+220,+225,+120,"Thursday, 17 Apr 2008, 19:00",0:1
"Everton
0
–
Chelsea
1",William Hill,+250,+229,+110,"Thursday, 17 Apr 2008, 19:00",0:1
"Fulham
2
–
Birmingham
0",bet-at-home,+125,+220,+204,"Saturday, 03 May 2008, 14:00",2:0
"Fulham
2
–
Birmingham
0",bet365,+110,+240,+250,"Saturday, 03 May 2008, 14:00",2:0
"Fulham
2
–
Birmingham
0",bwin,+120,+215,+204,"Saturday, 03 May 2008, 14:00",2:0
"Fulham
2
–
Birmingham
0",Interwetten,+120,+220,+190,"Saturday, 03 May 2008, 14:00",2:0
"Fulham
2
–
Birmingham
0",Pinnacle,+106,+245,+288,"Saturday, 03 May 2008, 14:00",2:0
"Fulham
2
–
Birmingham
0",Unibet,+104,+229,+250,"Saturday, 03 May 2008, 14:00",2:0
"Fulham
2
–
Birmingham
0",William Hill,-667,+350,+2000,"Saturday, 03 May 2008, 14:00",2:0
"Chelsea
1
–
Bolton
1",bet-at-home,-714,+525,+1500,"Sunday, 11 May 2008, 14:00",1:1
"Chelsea
1
–
Bolton
1",bet365,-769,+550,+1400,"Sunday, 11 May 2008, 14:00",1:1
"Chelsea
1
–
Bolton
1",bwin,-500,+425,+1200,"Sunday, 11 May 2008, 14:00",1:1
"Chelsea
1
–
Bolton
1",Interwetten,-714,+400,+1200,"Sunday, 11 May 2008, 14:00",1:1
"Chelsea
1
–
Bolton
1",Pinnacle,-667,+744,+1900,"Sunday, 11 May 2008, 14:00",1:1
"Chelsea
1
–
Bolton
1",Unibet,-667,+550,+1500,"Sunday, 11 May 2008, 14:00",1:1
"Chelsea
1
–
Bolton
1",William Hill,-769,+650,+1800,"Sunday, 11 May 2008, 14:00",1:1
"Middlesbrough
2
–
Portsmouth
0",bet-at-home,+110,+225,+235,"Saturday, 03 May 2008, 14:00",2:0
"Middlesbrough
2
–
Portsmouth
0",bet365,-110,+250,+300,"Saturday, 03 May 2008, 14:00",2:0
"Middlesbrough
2
–
Portsmouth
0",bwin,+100,+229,+240,"Saturday, 03 May 2008, 14:00",2:0
"Middlesbrough
2
–
Portsmouth
0",Interwetten,-125,+220,+300,"Saturday, 03 May 2008, 14:00",2:0
"Middlesbrough
2
–
Portsmouth
0",Pinnacle,-125,+262,+420,"Saturday, 03 May 2008, 14:00",2:0
